Location,Crop Type,Season,Rainfall (mm),Temperature (°C),Soil pH,Nitrogen (kg/ha),Phosphorus (kg/ha),Potassium (kg/ha),Yield (tonnes/ha)
Puducherry,Sugarcane,Kharif     ,1248.7,28.29,5.79,87.26,52.81,48.92,125.0
Assam,Maize,Kharif     ,2621.54,23.5,6.16,69.51,40.76,57.21,2.989259259
Assam,Potato,Whole Year ,2621.54,23.5,7.36,65.08,49.45,57.52,7.139259259
Assam,Rice,Autumn     ,2621.54,23.5,7.18,84.87,42.73,61.56,1.418148148
Assam,Rice,Summer     ,2621.54,23.5,6.77,64.71,50.3,53.52,2.704615385
Assam,Rice,Winter     ,2621.54,23.5,6.07,66.7,54.88,63.63,2.063703704
Assam,Sugarcane,Whole Year ,2621.54,23.5,5.99,68.13,41.38,57.83,36.48703704
Assam,Wheat,Rabi       ,2621.54,23.5,6.19,84.43,45.91,47.86,1.3388
Meghalaya,Maize,Kharif     ,5244.36,18.43,5.85,71.27,45.39,59.05,2.246363636
Meghalaya,Potato,Summer     ,5244.36,18.43,7.23,80.98,48.4,61.87,8.254545455
Meghalaya,Potato,Winter     ,5244.36,18.43,6.03,76.28,54.76,47.19,6.526363636
Meghalaya,Rice,Autumn     ,5244.36,18.43,6.23,73.68,43.42,56.48,2.551818182
Meghalaya,Rice,Rabi       ,5244.36,18.43,5.66,77.15,50.5,49.34,2.576363636
Meghalaya,Rice,Winter     ,5244.36,18.43,5.65,73.91,50.74,62.17,2.36
Meghalaya,Sugarcane,Whole Year ,5244.36,18.43,6.54,83.82,49.64,48.32,2.67
Meghalaya,Wheat,Rabi       ,5244.36,18.43,5.5,73.1,52.69,58.63,1.636
Goa,Rice,Kharif     ,1982.62,27.48,7.47,69.49,48.72,49.25,2.635
Goa,Rice,Rabi       ,1982.62,27.48,7.25,66.39,53.62,56.4,2.855
Goa,Sugarcane,Whole Year ,1982.62,27.48,5.62,77.03,45.66,58.3,45.41
Karnataka,Maize,Kharif     ,1088.08,23.74,7.34,89.66,48.4,55.52,4.282857143
Karnataka,Maize,Rabi       ,1088.08,23.74,6.84,88.79,46.38,61.82,3.7392
Karnataka,Maize,Summer     ,1088.08,23.74,6.3,73.92,44.33,55.98,3.739230769
Karnataka,Potato,Kharif     ,1088.08,23.74,6.29,67.28,40.76,53.13,9.301176471
Karnataka,Potato,Rabi       ,1088.08,23.74,5.9,66.76,52.52,61.2,18.17769231
Karnataka,Potato,Summer     ,1088.08,23.74,5.72,72.06,44.9,47.5,14.78714286
Karnataka,Rice,Kharif     ,1088.08,23.74,6.56,71.79,46.48,60.82,2.9
Karnataka,Rice,Rabi       ,1088.08,23.74,7.06,76.38,42.14,56.14,2.773076923
Karnataka,Rice,Summer     ,1088.08,23.74,7.03,79.83,47.16,58.88,3.063703704
Karnataka,Sugarcane,Whole Year ,1088.08,23.74,5.66,70.01,41.72,49.39,91.89956522
Karnataka,Wheat,Rabi       ,1088.08,23.74,6.38,71.68,47.89,48.96,1.065333333
Kerala,Maize,Whole Year ,1693.59,27.14,7.39,81.72,49.95,47.24,1.1775
Kerala,Potato,Whole Year ,1693.59,27.14,7.11,81.45,50.83,60.07,14.15
Kerala,Rice,Autumn     ,1693.59,27.14,6.63,75.97,43.22,55.33,2.217692308
Kerala,Rice,Summer     ,1693.59,27.14,6.6,70.36,40.99,52.98,2.733571429
Kerala,Rice,Winter     ,1693.59,27.14,6.94,69.75,52.4,47.32,2.483571429
Kerala,Sugarcane,Whole Year ,1693.59,27.14,6.47,87.28,52.76,55.2,68.18888889
Kerala,Wheat,Whole Year ,1693.59,27.14,6.98,88.66,44.44,51.69,1.0
Tamil Nadu,Maize,Kharif     ,1290.07,28.13,6.31,88.66,43.96,59.25,8.962
Tamil Nadu,Maize,Rabi       ,1290.07,28.13,6.37,73.59,43.24,60.32,6.956785714
Tamil Nadu,Potato,Kharif     ,1290.07,28.13,6.65,76.95,50.97,55.75,16.698
Tamil Nadu,Potato,Rabi       ,1290.07,28.13,7.03,77.27,43.86,46.93,23.12
Tamil Nadu,Rice,Autumn     ,1290.07,28.13,7.12,66.36,49.32,61.19,3.967857143
Tamil Nadu,Rice,Summer     ,1290.07,28.13,6.19,87.38,47.15,54.08,4.451428571
Tamil Nadu,Rice,Winter     ,1290.07,28.13,7.22,77.96,48.84,55.77,4.139
Tamil Nadu,Sugarcane,Whole Year ,1290.07,28.13,6.25,87.28,41.0,58.11,94.5
Andhra Pradesh,Maize,Kharif     ,927.05,28.18,5.73,71.39,45.7,47.11,3.716923077
Andhra Pradesh,Maize,Rabi       ,927.05,28.18,5.65,73.13,39.96,62.76,5.788461538
Andhra Pradesh,Potato,Kharif     ,927.05,28.18,6.32,76.83,47.39,56.79,7.44
Andhra Pradesh,Potato,Rabi       ,927.05,28.18,6.0,85.87,47.26,59.13,8.096666667
Andhra Pradesh,Rice,Kharif     ,927.05,28.18,7.48,76.67,54.13,62.87,3.263846154
Andhra Pradesh,Rice,Rabi       ,927.05,28.18,6.15,70.5,51.01,54.73,3.699230769
Andhra Pradesh,Sugarcane,Kharif     ,927.05,28.18,6.39,86.7,52.64,51.43,84.04769231
Andhra Pradesh,Wheat,Rabi       ,927.05,28.18,7.1,84.65,44.92,56.4,0.095
Puducherry,Rice,Kharif     ,947.36,28.04,6.65,81.23,43.91,52.85,3.373333333
Puducherry,Rice,Rabi       ,947.36,28.04,6.61,64.78,42.43,63.06,3.976666667
Puducherry,Rice,Summer     ,947.36,28.04,7.2,70.22,47.74,60.7,2.885
Puducherry,Sugarcane,Kharif     ,947.36,28.04,5.69,70.74,44.02,52.33,130.0
Assam,Maize,Kharif     ,1825.84,23.04,6.59,82.87,54.04,52.99,2.868518519
Assam,Potato,Whole Year ,1825.84,23.04,5.74,79.62,51.05,54.69,7.511851852
Assam,Rice,Autumn     ,1825.84,23.04,6.38,70.5,47.6,54.4,1.492592593
Assam,Rice,Summer     ,1825.84,23.04,6.68,73.81,52.65,56.16,2.645
Assam,Rice,Winter     ,1825.84,23.04,6.94,70.32,45.66,59.74,2.15
Assam,Sugarcane,Whole Year ,1825.84,23.04,5.81,87.33,46.95,56.97,33.76481481
Assam,Wheat,Rabi       ,1825.84,23.04,5.67,84.19,43.38,49.28,1.371666667
Meghalaya,Maize,Kharif     ,3403.4,17.87,6.47,81.97,43.84,55.54,2.246363636
Meghalaya,Potato,Summer     ,3403.4,17.87,5.89,83.24,44.29,53.56,8.255454545
Meghalaya,Potato,Winter     ,3403.4,17.87,6.85,69.91,41.32,56.05,6.526363636
Meghalaya,Rice,Autumn     ,3403.4,17.87,7.43,72.11,54.89,49.43,2.545454545
Meghalaya,Rice,Rabi       ,3403.4,17.87,5.7,82.78,42.67,52.67,2.569090909
Meghalaya,Rice,Winter     ,3403.4,17.87,6.05,85.5,48.48,51.55,2.352727273
Meghalaya,Sugarcane,Whole Year ,3403.4,17.87,7.43,82.85,50.92,53.98,2.67125
Meghalaya,Wheat,Rabi       ,3403.4,17.87,5.75,89.29,45.25,51.63,1.638
Goa,Rice,Kharif     ,2090.67,27.57,6.94,81.65,47.34,49.56,2.72
Goa,Rice,Rabi       ,2090.67,27.57,6.14,72.84,46.88,56.29,2.72
Goa,Sugarcane,Whole Year ,2090.67,27.57,5.78,82.38,40.9,51.11,34.38
Karnataka,Maize,Kharif     ,586.33,23.97,5.74,81.37,45.27,50.19,2.882413793
Karnataka,Maize,Rabi       ,586.33,23.97,6.13,89.57,49.94,47.88,3.1972
Karnataka,Maize,Summer     ,586.33,23.97,5.66,89.62,48.22,62.29,3.2775
Karnataka,Potato,Kharif     ,586.33,23.97,6.02,66.27,54.76,48.45,8.165862069
Karnataka,Potato,Rabi       ,586.33,23.97,6.27,77.52,51.18,49.88,14.73
Karnataka,Potato,Summer     ,586.33,23.97,7.07,79.07,41.43,60.41,16.26142857
Karnataka,Rice,Kharif     ,586.33,23.97,5.96,67.3,42.59,49.34,2.637
Karnataka,Rice,Rabi       ,586.33,23.97,6.42,81.82,47.59,56.15,2.480833333
Karnataka,Rice,Summer     ,586.33,23.97,6.9,78.14,54.17,52.34,2.9272
Karnataka,Sugarcane,Whole Year ,586.33,23.97,6.59,70.11,50.66,54.19,83.26862069
Karnataka,Wheat,Rabi       ,586.33,23.97,6.1,78.32,47.68,59.22,0.960740741
Kerala,Maize,Whole Year ,1799.12,26.92,7.14,84.44,45.22,54.58,4.508
Kerala,Potato,Whole Year ,1799.12,26.92,7.01,68.84,41.13,59.96,13.75
Kerala,Rice,Autumn     ,1799.12,26.92,5.73,84.13,50.21,47.25,1.565384615
Kerala,Rice,Summer     ,1799.12,26.92,6.17,65.65,47.58,49.74,3.09
Kerala,Rice,Winter     ,1799.12,26.92,7.34,65.16,46.22,63.45,2.684285714
Kerala,Sugarcane,Whole Year ,1799.12,26.92,7.2,69.53,47.8,61.63,81.14875
Kerala,Wheat,Whole Year ,1799.12,26.92,7.39,77.96,50.5,63.13,1.45
Tamil Nadu,Maize,Kharif     ,832.38,28.08,5.54,85.3,50.45,48.39,7.625384615
Tamil Nadu,Maize,Rabi       ,832.38,28.08,7.22,74.37,51.28,56.19,6.984
Tamil Nadu,Potato,Kharif     ,832.38,28.08,6.74,68.46,43.91,51.92,13.195
Tamil Nadu,Potato,Rabi       ,832.38,28.08,7.07,82.31,44.54,58.13,23.2225
Tamil Nadu,Rice,Autumn     ,832.38,28.08,5.91,84.66,44.49,51.62,4.184827586
Tamil Nadu,Rice,Summer     ,832.38,28.08,5.79,66.93,52.82,54.14,3.997333333
Tamil Nadu,Rice,Winter     ,832.38,28.08,5.77,74.97,40.85,49.52,3.749032258
Tamil Nadu,Sugarcane,Whole Year ,832.38,28.08,5.6,86.05,44.2,52.62,99.34166667
Andhra Pradesh,Maize,Kharif     ,1027.8,28.2,6.14,68.49,49.66,51.15,4.653076923
Andhra Pradesh,Maize,Rabi       ,1027.8,28.2,7.34,75.93,51.42,62.45,6.698461538
Andhra Pradesh,Potato,Kharif     ,1027.8,28.2,6.95,78.81,49.87,49.23,12.21
Andhra Pradesh,Potato,Rabi       ,1027.8,28.2,5.6,69.29,50.45,49.6,13.155
Andhra Pradesh,Rice,Kharif     ,1027.8,28.2,5.92,68.4,53.83,63.24,3.517692308
Andhra Pradesh,Rice,Rabi       ,1027.8,28.2,7.21,65.4,52.25,62.35,3.873076923
Andhra Pradesh,Sugarcane,Kharif     ,1027.8,28.2,5.94,69.47,44.15,55.95,83.44538462
Andhra Pradesh,Wheat,Rabi       ,1027.8,28.2,5.73,69.17,55.15,49.2,0.155
Puducherry,Rice,Kharif     ,1060.94,28.41,6.96,71.91,48.07,59.39,3.216666667
Puducherry,Rice,Rabi       ,1060.94,28.41,7.15,72.34,50.57,61.56,3.883333333
Puducherry,Rice,Summer     ,1060.94,28.41,5.89,72.01,49.88,62.66,3.55
Puducherry,Sugarcane,Kharif     ,1060.94,28.41,6.25,70.05,49.17,49.21,140.0
Assam,Maize,Kharif     ,2368.95,23.09,6.68,74.01,40.43,55.71,3.155555556
Assam,Potato,Whole Year ,2368.95,23.09,6.39,76.31,47.93,54.33,7.303703704
Assam,Rice,Autumn     ,2368.95,23.09,7.22,70.42,46.37,62.61,1.464814815
Assam,Rice,Summer     ,2368.95,23.09,5.88,72.63,52.07,62.49,2.492307692
Assam,Rice,Winter     ,2368.95,23.09,5.63,80.07,48.05,47.4,2.137037037
Assam,Sugarcane,Whole Year ,2368.95,23.09,5.76,87.4,43.85,57.73,38.92111111
Assam,Wheat,Rabi       ,2368.95,23.09,7.32,71.97,49.94,48.32,1.272083333
Meghalaya,Maize,Kharif     ,4360.57,18.07,7.41,78.59,42.12,53.46,2.254545455
Meghalaya,Potato,Summer     ,4360.57,18.07,6.77,75.13,40.92,50.06,8.257272727
Meghalaya,Potato,Winter     ,4360.57,18.07,6.38,85.56,43.43,60.84,6.527272727
Meghalaya,Rice,Autumn     ,4360.57,18.07,6.68,87.45,46.48,53.64,2.510909091
Meghalaya,Rice,Rabi       ,4360.57,18.07,7.07,82.1,51.68,51.94,2.57
Meghalaya,Rice,Winter     ,4360.57,18.07,7.39,80.16,49.04,52.09,2.36
Meghalaya,Sugarcane,Whole Year ,4360.57,18.07,6.41,74.68,42.29,53.66,2.675
Meghalaya,Wheat,Rabi       ,4360.57,18.07,5.89,68.59,52.9,47.66,1.638
Goa,Rice,Kharif     ,3627.84,27.55,6.13,81.38,48.52,60.31,2.475
Goa,Rice,Rabi       ,3627.84,27.55,7.32,72.57,45.61,47.67,2.95
Goa,Sugarcane,Whole Year ,3627.84,27.55,5.55,85.67,42.08,53.84,70.115
Karnataka,Maize,Kharif     ,818.07,24.57,5.88,83.03,49.84,48.18,3.572068966
Karnataka,Maize,Rabi       ,818.07,24.57,6.73,85.65,41.4,50.0,3.466785714
Karnataka,Maize,Summer     ,818.07,24.57,6.6,82.89,50.07,59.73,3.905357143
Karnataka,Potato,Kharif     ,818.07,24.57,6.94,80.39,48.59,57.26,7.178214286
Karnataka,Potato,Rabi       ,818.07,24.57,6.19,84.03,53.61,49.04,15.27291667
Karnataka,Potato,Summer     ,818.07,24.57,6.32,74.53,47.07,59.31,15.88222222
Karnataka,Rice,Kharif     ,818.07,24.57,6.05,80.21,46.73,59.61,2.924
Karnataka,Rice,Rabi       ,818.07,24.57,6.13,79.05,43.62,60.5,2.881428571
Karnataka,Rice,Summer     ,818.07,24.57,5.97,71.06,46.16,51.12,2.86862069
Karnataka,Sugarcane,Whole Year ,818.07,24.57,6.17,73.56,47.12,48.91,81.45551724
Karnataka,Wheat,Rabi       ,818.07,24.57,5.59,78.47,53.82,52.23,1.08125
Kerala,Maize,Whole Year ,1778.18,27.57,6.68,70.07,46.23,52.99,1.82
Kerala,Potato,Whole Year ,1778.18,27.57,6.13,83.87,42.87,57.72,13.41
Kerala,Rice,Autumn     ,1778.18,27.57,6.78,85.84,44.02,60.28,1.949230769
Kerala,Rice,Summer     ,1778.18,27.57,7.18,81.52,43.85,57.44,2.815714286
Kerala,Rice,Winter     ,1778.18,27.57,5.7,65.7,50.09,57.02,2.503571429
Kerala,Sugarcane,Whole Year ,1778.18,27.57,6.59,76.79,49.75,51.87,83.834
Kerala,Wheat,Whole Year ,1778.18,27.57,5.85,84.19,50.14,62.71,2.0
Tamil Nadu,Maize,Kharif     ,1207.03,28.36,6.68,74.92,50.26,52.39,8.614827586
Tamil Nadu,Maize,Rabi       ,1207.03,28.36,7.19,66.88,41.82,50.64,6.841666667
Tamil Nadu,Potato,Kharif     ,1207.03,28.36,5.75,66.45,41.14,48.44,21.384
Tamil Nadu,Potato,Rabi       ,1207.03,28.36,6.54,72.34,52.18,47.38,21.68
Tamil Nadu,Rice,Autumn     ,1207.03,28.36,7.21,77.61,49.29,61.65,4.077241379
Tamil Nadu,Rice,Summer     ,1207.03,28.36,6.83,66.57,54.29,47.98,4.095
Tamil Nadu,Rice,Winter     ,1207.03,28.36,6.35,78.98,51.84,49.9,3.818387097
Tamil Nadu,Sugarcane,Whole Year ,1207.03,28.36,6.43,75.1,51.29,47.97,102.7843333
Odisha,Maize,Autumn     ,1508.87,26.76,6.63,87.29,47.71,56.49,0.812
Odisha,Maize,Summer     ,1508.87,26.76,7.07,88.33,42.64,50.39,0.945714286
Odisha,Maize,Winter     ,1508.87,26.76,7.48,77.07,47.94,46.98,0.9925
Odisha,Potato,Whole Year ,1508.87,26.76,7.18,78.15,46.82,55.29,8.774
Odisha,Sugarcane,Winter     ,1508.87,26.76,7.33,79.55,50.72,53.81,55.64206897
Odisha,Wheat,Rabi       ,1508.87,26.76,6.74,70.47,47.22,58.39,0.856666667
Andhra Pradesh,Maize,Kharif     ,1191.08,28.21,7.02,70.58,45.71,47.87,2.201818182
Andhra Pradesh,Maize,Rabi       ,1191.08,28.21,6.93,87.6,42.66,53.73,3.21
Andhra Pradesh,Rice,Kharif     ,1191.08,28.21,6.95,64.74,44.31,57.45,1.99173913
Andhra Pradesh,Rice,Rabi       ,1191.08,28.21,5.8,85.39,49.88,52.83,2.64
Andhra Pradesh,Sugarcane,Kharif     ,1191.08,28.21,6.25,80.8,51.0,47.3,77.1065
Andhra Pradesh,Wheat,Rabi       ,1191.08,28.21,5.76,73.67,51.67,50.64,0.55375
Bihar,Maize,Kharif     ,1263.31,25.76,5.88,69.52,47.74,48.03,1.260185185
Bihar,Maize,Rabi       ,1263.31,25.76,5.73,88.22,43.6,62.76,2.803555556
Bihar,Maize,Summer     ,1263.31,25.76,6.35,73.76,53.88,60.27,2.025192308
Bihar,Potato,Whole Year ,1263.31,25.76,5.7,66.44,46.36,55.42,8.929636364
Bihar,Rice,Autumn     ,1263.31,25.76,6.25,73.77,41.26,49.54,1.102244898
Bihar,Rice,Summer     ,1263.31,25.76,7.29,77.88,54.23,50.85,1.683265306
Bihar,Rice,Winter     ,1263.31,25.76,5.83,77.24,50.24,57.13,1.354363636
Bihar,Sugarcane,Whole Year ,1263.31,25.76,7.31,74.5,49.42,57.42,50.18152174
Bihar,Wheat,Rabi       ,1263.31,25.76,5.84,71.3,48.73,60.41,1.811090909
Gujarat,Maize,Whole Year ,1009.83,26.78,6.93,80.75,48.5,50.93,1.690666667
Gujarat,Potato,Whole Year ,1009.83,26.78,7.19,76.86,48.29,48.45,21.167
Gujarat,Rice,Whole Year ,1009.83,26.78,6.04,77.65,47.61,47.86,1.665
Gujarat,Sugarcane,Whole Year ,1009.83,26.78,5.89,72.02,50.14,47.04,72.99533333
Gujarat,Wheat,Rabi       ,1009.83,26.78,7.2,67.89,46.34,51.51,2.36
Madhya Pradesh,Maize,Kharif     ,1390.54,24.4,6.56,76.13,42.11,59.44,1.143023256
Madhya Pradesh,Wheat,Rabi       ,1390.54,24.4,7.23,86.06,52.41,50.89,1.475681818
Maharashtra,Maize,Autumn     ,2053.66,26.37,6.48,84.55,52.36,58.04,989.87
Maharashtra,Maize,Kharif     ,2053.66,26.37,6.02,85.02,41.56,48.04,1.082083333
Maharashtra,Maize,Rabi       ,2053.66,26.37,5.88,81.4,49.7,52.09,1.476875
Maharashtra,Maize,Summer     ,2053.66,26.37,6.73,70.42,46.56,55.81,1.407777778
Maharashtra,Rice,Kharif     ,2053.66,26.37,6.92,80.16,53.33,57.42,8.778275862
Maharashtra,Rice,Summer     ,2053.66,26.37,7.28,78.81,51.25,53.18,2.018888889
Maharashtra,Sugarcane,Kharif     ,2053.66,26.37,6.85,82.49,44.01,47.49,0.863333333
Maharashtra,Wheat,Rabi       ,2053.66,26.37,6.53,79.0,52.34,48.85,0.8476
Mizoram,Maize,Kharif     ,1730.69,22.66,5.85,85.94,43.66,59.79,2.0875
Mizoram,Maize,Rabi       ,1730.69,22.66,6.49,78.46,45.06,50.12,2.15
Mizoram,Rice,Whole Year ,1730.69,22.66,6.93,68.96,43.8,52.97,1.6
Mizoram,Sugarcane,Whole Year ,1730.69,22.66,5.88,73.17,53.89,47.1,5.8
Mizoram,Wheat,Rabi       ,1730.69,22.66,6.02,81.17,52.25,49.21,0.5
Punjab,Maize,Kharif     ,942.38,23.39,6.28,68.59,51.67,55.35,2.102727273
Punjab,Rice,Kharif     ,942.38,23.39,7.06,82.47,44.12,62.51,3.476470588
Punjab,Sugarcane,Whole Year ,942.38,23.39,5.95,70.78,46.03,56.5,58.046875
Punjab,Wheat,Rabi       ,942.38,23.39,6.97,89.11,50.84,54.5,3.781176471
Uttar Pradesh,Maize,Kharif     ,711.1,26.03,6.65,75.35,43.08,56.5,1.498125
Uttar Pradesh,Maize,Summer     ,711.1,26.03,5.99,83.59,53.59,51.68,1.577936508
Uttar Pradesh,Potato,Whole Year ,711.1,26.03,6.85,84.61,50.28,54.77,13.6445
Uttar Pradesh,Rice,Kharif     ,711.1,26.03,6.53,84.45,54.23,50.22,2.037
Uttar Pradesh,Rice,Summer     ,711.1,26.03,6.39,82.01,41.96,60.66,2.202903226
Uttar Pradesh,Sugarcane,Kharif     ,711.1,26.03,6.96,86.52,49.45,56.02,56.43
Uttar Pradesh,Sugarcane,Whole Year ,711.1,26.03,6.17,76.23,51.61,48.19,53.15815789
Uttar Pradesh,Wheat,Rabi       ,711.1,26.03,6.57,69.38,52.0,57.82,2.416
Andhra Pradesh,Maize,Kharif     ,1100.41,28.21,6.63,78.91,49.9,48.49,2.479545455
Andhra Pradesh,Maize,Rabi       ,1100.41,28.21,7.38,86.8,50.21,52.48,4.245
Andhra Pradesh,Rice,Kharif     ,1100.41,28.21,6.81,67.56,42.01,60.24,2.47
Andhra Pradesh,Rice,Rabi       ,1100.41,28.21,7.04,70.26,48.55,52.5,2.986086957
Andhra Pradesh,Sugarcane,Whole Year ,1100.41,28.21,5.93,87.53,40.25,63.4,81.223
Andhra Pradesh,Wheat,Rabi       ,1100.41,28.21,7.11,88.43,44.36,53.56,0.468888889
Bihar,Maize,Kharif     ,1017.81,26.1,6.76,88.26,53.87,50.87,1.276363636
Bihar,Maize,Rabi       ,1017.81,26.1,5.57,82.83,47.21,49.02,2.834545455
Bihar,Maize,Summer     ,1017.81,26.1,6.88,81.86,44.33,55.15,2.175306122
Bihar,Potato,Whole Year ,1017.81,26.1,6.16,64.84,41.69,49.16,9.751454545
Bihar,Rice,Summer     ,1017.81,26.1,6.98,81.26,53.72,63.49,1.765777778
Bihar,Rice,Winter     ,1017.81,26.1,7.17,76.35,52.71,50.55,1.242909091
Bihar,Sugarcane,Whole Year ,1017.81,26.1,5.55,87.67,41.0,62.67,39.29543478
Bihar,Wheat,Rabi       ,1017.81,26.1,6.03,86.23,51.61,51.25,1.889272727
Gujarat,Maize,Kharif     ,758.93,27.88,6.17,83.72,44.01,58.79,1.649411765
Gujarat,Potato,Whole Year ,758.93,27.88,5.83,64.89,44.28,48.44,22.369
Gujarat,Rice,Kharif     ,758.93,27.88,6.18,81.74,51.46,61.1,1.695384615
Gujarat,Sugarcane,Whole Year ,758.93,27.88,5.97,74.28,46.5,58.41,70.090625
Gujarat,Wheat,Rabi       ,758.93,27.88,7.38,72.85,53.14,55.21,2.425263158
Haryana,Maize,Kharif     ,986.16,24.04,6.92,86.11,40.46,47.56,0.938235294
Haryana,Potato,Whole Year ,986.16,24.04,5.74,82.68,52.86,49.7,14.64631579
Haryana,Rice,Kharif     ,986.16,24.04,7.06,80.85,54.02,50.0,2.286666667
Haryana,Sugarcane,Whole Year ,986.16,24.04,7.24,84.56,43.84,52.36,51.58421053
Haryana,Wheat,Rabi       ,986.16,24.04,7.01,86.56,55.15,51.11,3.825789474
Himachal Pradesh,Maize,Kharif     ,962.76,21.24,6.71,82.25,44.41,58.94,2.23
Himachal Pradesh,Potato,Kharif     ,962.76,21.24,6.91,64.5,49.07,59.94,11.007
Himachal Pradesh,Potato,Rabi       ,962.76,21.24,5.94,85.71,51.56,49.72,10.772
Himachal Pradesh,Rice,Kharif     ,962.76,21.24,5.68,77.45,42.74,62.58,1.455454545
Himachal Pradesh,Wheat,Rabi       ,962.76,21.24,7.17,87.6,44.97,55.42,1.363333333
Madhya Pradesh,Maize,Kharif     ,1049.84,25.01,6.51,87.36,45.87,52.86,1.294035088
Madhya Pradesh,Rice,Kharif     ,1049.84,25.01,5.88,65.81,44.67,55.28,0.586785714
Madhya Pradesh,Sugarcane,Whole Year ,1049.84,25.01,6.7,78.65,52.09,51.5,17.87372881
Madhya Pradesh,Wheat,Rabi       ,1049.84,25.01,5.55,72.29,46.97,52.36,1.618983051
Maharashtra,Maize,Kharif     ,2133.35,26.75,6.89,81.24,40.41,48.77,1.952608696
Maharashtra,Maize,Rabi       ,2133.35,26.75,6.8,68.19,53.76,53.99,1.399444444
Maharashtra,Maize,Summer     ,2133.35,26.75,6.14,78.52,47.95,50.48,1.426666667
Maharashtra,Rice,Kharif     ,2133.35,26.75,6.61,80.41,46.76,60.42,1.267241379
Maharashtra,Rice,Summer     ,2133.35,26.75,6.41,84.92,45.77,52.18,2.053333333
Maharashtra,Sugarcane,Kharif     ,2133.35,26.75,6.01,77.18,51.56,59.05,84.55434783
Maharashtra,Wheat,Rabi       ,2133.35,26.75,6.45,70.79,50.52,59.3,1.265
Punjab,Maize,Kharif     ,986.16,24.04,7.02,80.0,52.11,59.27,2.42
Punjab,Rice,Kharif     ,986.16,24.04,6.63,83.62,53.9,61.68,3.099411765
Punjab,Sugarcane,Whole Year ,986.16,24.04,7.29,82.18,42.3,53.11,60.698
Punjab,Wheat,Rabi       ,986.16,24.04,5.5,68.97,47.71,48.2,4.298823529
Tamil Nadu,Maize,Kharif     ,1115.79,28.32,6.45,88.21,44.59,49.65,1.606666667
Tamil Nadu,Potato,Whole Year ,1115.79,28.32,5.53,69.84,51.52,61.25,19.0875
Tamil Nadu,Rice,Kharif     ,1115.79,28.32,5.91,72.0,52.15,53.33,3.445
Tamil Nadu,Sugarcane,Whole Year ,1115.79,28.32,5.59,68.24,48.53,61.4,136.0751852
Tripura,Maize,Kharif     ,1919.99,25.37,7.43,70.92,49.0,59.4,0.7475
Tripura,Rice,Kharif     ,1919.99,25.37,6.09,86.99,52.99,57.87,1.8775
Tripura,Sugarcane,Whole Year ,1919.99,25.37,6.07,77.57,41.9,48.2,48.21
Tripura,Wheat,Rabi       ,1919.99,25.37,5.73,71.06,51.92,61.28,1.9025
Uttar Pradesh,Maize,Kharif     ,962.01,25.83,6.42,88.0,48.87,56.43,0.933780488
Uttar Pradesh,Maize,Summer     ,962.01,25.83,7.04,72.82,40.81,49.88,1.01047619
Uttar Pradesh,Potato,Whole Year ,962.01,25.83,7.14,79.34,48.05,50.27,21.38225
Uttar Pradesh,Rice,Kharif     ,962.01,25.83,6.84,67.19,49.01,63.29,1.865060241
Uttar Pradesh,Rice,Summer     ,962.01,25.83,7.35,65.43,51.48,60.19,2.015172414
Uttar Pradesh,Sugarcane,Whole Year ,962.01,25.83,7.46,85.54,44.75,50.13,51.80960526
Uttar Pradesh,Wheat,Rabi       ,962.01,25.83,5.79,72.11,53.06,59.72,2.37373494
Bihar,Maize,Kharif     ,887.84,26.37,6.7,78.41,42.34,53.09,1.615272727
Bihar,Maize,Rabi       ,887.84,26.37,6.28,72.73,52.42,49.76,2.928333333
Bihar,Maize,Summer     ,887.84,26.37,7.02,80.63,52.46,57.17,2.511666667
Bihar,Potato,Whole Year ,887.84,26.37,6.95,71.76,50.78,52.32,9.737297297
Bihar,Rice,Kharif     ,887.84,26.37,6.86,75.59,49.47,59.99,1.061666667
Bihar,Rice,Summer     ,887.84,26.37,7.21,65.77,52.7,62.67,1.700666667
Bihar,Sugarcane,Whole Year ,887.84,26.37,6.89,71.11,52.41,59.4,36.62083333
Bihar,Wheat,Rabi       ,887.84,26.37,6.38,81.38,45.58,52.87,2.113513514
Gujarat,Maize,Kharif     ,440.13,28.45,6.02,82.86,40.56,62.12,1.324117647
Gujarat,Potato,Whole Year ,440.13,28.45,6.44,75.73,44.95,54.03,20.62111111
Gujarat,Rice,Kharif     ,440.13,28.45,5.88,65.06,41.28,51.14,1.510714286
Gujarat,Sugarcane,Whole Year ,440.13,28.45,6.51,68.59,40.4,55.19,73.26
Gujarat,Wheat,Rabi       ,440.13,28.45,5.51,75.17,49.51,63.08,2.239473684
Haryana,Maize,Kharif     ,537.97,25.49,7.0,78.24,51.63,53.46,0.812631579
Haryana,Potato,Whole Year ,537.97,25.49,6.76,77.15,44.65,48.01,21.46470588
Haryana,Rice,Kharif     ,537.97,25.49,6.19,73.01,43.63,54.86,2.235
Haryana,Sugarcane,Whole Year ,537.97,25.49,7.2,72.61,51.6,61.61,44.50210526
Haryana,Wheat,Rabi       ,537.97,25.49,6.06,80.0,43.45,59.82,4.054210526
Himachal Pradesh,Maize,Kharif     ,572.46,22.3,6.38,72.6,50.95,60.83,2.324166667
Himachal Pradesh,Potato,Whole Year ,572.46,22.3,5.7,68.72,54.41,58.88,5.58
